,Arene_name,Arene_smi,Radical_name,Radical_smi,Product_name,Product_smi,rxn,Output,React_sites_Ar_R,Prod_sites,Divider,Ar_n,SMILES_Ar,Radical_n,SMILES_R,ArR_n,SMILES_ArR,R_Ar_n,DG_TS
4366,Arene_151,COc1[nH+]cco1,Radical_11,C[CH]C,Product-Ar151-R11-P4269,COc1[nH+]c(C(C)C)co1,COc1[nH+]cco1.C[CH]C>>COc1[nH+]c(C(C)C)co1,16.2,"((4,), (1,))","((4,), (5,))",,HFc2d,COc1[nH+]cco1,ipr, C[CH]C,ipr-HFc2d-4, COc1[nH+]c(C(C)C)co1,ipr-HFc2d,16.2
4367,Arene_151,COc1[nH+]cco1,Radical_11,C[CH]C,Product-Ar151-R11-P4270,COc1[nH+]cc(C(C)C)o1,COc1[nH+]cco1.C[CH]C>>COc1[nH+]cc(C(C)C)o1,13.8,"((5,), (1,))","((5,), (6,))",,HFc2d,COc1[nH+]cco1,ipr, C[CH]C,ipr-HFc2d-5, COc1[nH+]cc(C(C)C)o1,ipr-HFc2d,13.8
4368,Arene_153,COc1coc[nH+]1,Radical_11,C[CH]C,Product-Ar153-R11-P4271,COc1coc(C(C)C)[nH+]1,COc1coc[nH+]1.C[CH]C>>COc1coc(C(C)C)[nH+]1,4.6,"((5,), (1,))","((5,), (6,))",,HFc4d,COc1coc[nH+]1,ipr, C[CH]C,ipr-HFc4d-2, COc1coc(C(C)C)[nH+]1,ipr-HFc4d,4.6
4369,Arene_153,COc1coc[nH+]1,Radical_11,C[CH]C,Product-Ar153-R11-P4272,COc1[nH+]coc1C(C)C,COc1coc[nH+]1.C[CH]C>>COc1[nH+]coc1C(C)C,10.9,"((3,), (1,))","((6,), (7,))",,HFc4d,COc1coc[nH+]1,ipr, C[CH]C,ipr-HFc4d-5, COc1[nH+]coc1C(C)C,ipr-HFc4d,10.9
4370,Arene_154,N#Cc1c[nH+]co1,Radical_11,C[CH]C,Product-Ar154-R11-P4273,CC(C)c1[nH+]coc1C#N,N#Cc1c[nH+]co1.C[CH]C>>CC(C)c1[nH+]coc1C#N,10,"((3,), (1,))","((3,), (1,))",,HFc5c,N#Cc1c[nH+]co1,ipr, C[CH]C,ipr-HFc5c-4, N#Cc1oc[nH+]c1C(C)C,ipr-HFc5c,10
4371,Arene_155,COc1c[nH+]co1,Radical_11,C[CH]C,Product-Ar155-R11-P4274,COc1oc[nH+]c1C(C)C,COc1c[nH+]co1.C[CH]C>>COc1oc[nH+]c1C(C)C,20.3,"((3,), (1,))","((6,), (7,))",,HFc5d,COc1c[nH+]co1,ipr, C[CH]C,ipr-HFc5d-4, COc1oc[nH+]c1C(C)C,ipr-HFc5d,20.3
4372,Arene_150,N#Cc1[nH+]cco1,Radical_8,[c]1ccccc1,Product-Ar150-R8-P4275,N#Cc1[nH+]c(-c2ccccc2)co1,N#Cc1[nH+]cco1.[c]1ccccc1>>N#Cc1[nH+]c(-c2ccccc2)co1,12.5,"((4,), (0,))","((4,), (5,))",,HFc2c,N#Cc1[nH+]cco1,Ph0, [c]1ccccc1,Ph0-HFc2c-4, N#Cc1[nH+]c(c2ccccc2)co1,Ph0-HFc2c,12.5
4373,Arene_150,N#Cc1[nH+]cco1,Radical_8,[c]1ccccc1,Product-Ar150-R8-P4276,N#Cc1[nH+]cc(-c2ccccc2)o1,N#Cc1[nH+]cco1.[c]1ccccc1>>N#Cc1[nH+]cc(-c2ccccc2)o1,7.7,"((5,), (0,))","((5,), (6,))",,HFc2c,N#Cc1[nH+]cco1,Ph0, [c]1ccccc1,Ph0-HFc2c-5, N#Cc1[nH+]cc(c2ccccc2)o1,Ph0-HFc2c,7.7
4374,Arene_151,COc1[nH+]cco1,Radical_8,[c]1ccccc1,Product-Ar151-R8-P4277,COc1[nH+]c(-c2ccccc2)co1,COc1[nH+]cco1.[c]1ccccc1>>COc1[nH+]c(-c2ccccc2)co1,12.5,"((4,), (0,))","((4,), (5,))",,HFc2d,COc1[nH+]cco1,Ph0, [c]1ccccc1,Ph0-HFc2d-4, COc1[nH+]c(c2ccccc2)co1,Ph0-HFc2d,12.5
4375,Arene_151,COc1[nH+]cco1,Radical_8,[c]1ccccc1,Product-Ar151-R8-P4278,COc1[nH+]cc(-c2ccccc2)o1,COc1[nH+]cco1.[c]1ccccc1>>COc1[nH+]cc(-c2ccccc2)o1,10.3,"((5,), (0,))","((5,), (6,))",,HFc2d,COc1[nH+]cco1,Ph0, [c]1ccccc1,Ph0-HFc2d-5, COc1[nH+]cc(c2ccccc2)o1,Ph0-HFc2d,10.3
4376,Arene_154,N#Cc1c[nH+]co1,Radical_8,[c]1ccccc1,Product-Ar154-R8-P4279,N#Cc1oc[nH+]c1-c1ccccc1,N#Cc1c[nH+]co1.[c]1ccccc1>>N#Cc1oc[nH+]c1-c1ccccc1,9.1,"((3,), (0,))","((6,), (7,))",,HFc5c,N#Cc1c[nH+]co1,Ph0, [c]1ccccc1,Ph0-HFc5c-4, N#Cc1oc[nH+]c1c2ccccc2,Ph0-HFc5c,9.1
4377,Arene_155,COc1c[nH+]co1,Radical_8,[c]1ccccc1,Product-Ar155-R8-P4280,COc1oc[nH+]c1-c1ccccc1,COc1c[nH+]co1.[c]1ccccc1>>COc1oc[nH+]c1-c1ccccc1,14.5,"((3,), (0,))","((6,), (7,))",,HFc5d,COc1c[nH+]co1,Ph0, [c]1ccccc1,Ph0-HFc5d-4, COc1oc[nH+]c1c2ccccc2,Ph0-HFc5d,14.5
4378,Arene_150,N#Cc1[nH+]cco1,Radical_9,[c]1ccncc1,Product-Ar150-R9-P4281,N#Cc1[nH+]c(-c2ccncc2)co1,N#Cc1[nH+]cco1.[c]1ccncc1>>N#Cc1[nH+]c(-c2ccncc2)co1,13.7,"((4,), (0,))","((4,), (5,))",,HFc2c,N#Cc1[nH+]cco1,Py0, [c]1ccncc1,Py0-HFc2c-4, N#Cc1[nH+]c(c2ccncc2)co1,Py0-HFc2c,13.7
4379,Arene_150,N#Cc1[nH+]cco1,Radical_9,[c]1ccncc1,Product-Ar150-R9-P4282,N#Cc1[nH+]cc(-c2ccncc2)o1,N#Cc1[nH+]cco1.[c]1ccncc1>>N#Cc1[nH+]cc(-c2ccncc2)o1,9.6,"((5,), (0,))","((5,), (6,))",,HFc2c,N#Cc1[nH+]cco1,Py0, [c]1ccncc1,Py0-HFc2c-5, N#Cc1[nH+]cc(c2ccncc2)o1,Py0-HFc2c,9.6
4380,Arene_151,COc1[nH+]cco1,Radical_9,[c]1ccncc1,Product-Ar151-R9-P4283,COc1[nH+]c(-c2ccncc2)co1,COc1[nH+]cco1.[c]1ccncc1>>COc1[nH+]c(-c2ccncc2)co1,13.2,"((4,), (0,))","((4,), (5,))",,HFc2d,COc1[nH+]cco1,Py0, [c]1ccncc1,Py0-HFc2d-4, COc1[nH+]c(c2ccncc2)co1,Py0-HFc2d,13.2
4381,Arene_151,COc1[nH+]cco1,Radical_9,[c]1ccncc1,Product-Ar151-R9-P4284,COc1[nH+]cc(-c2ccncc2)o1,COc1[nH+]cco1.[c]1ccncc1>>COc1[nH+]cc(-c2ccncc2)o1,10.9,"((5,), (0,))","((5,), (6,))",,HFc2d,COc1[nH+]cco1,Py0, [c]1ccncc1,Py0-HFc2d-5, COc1[nH+]cc(c2ccncc2)o1,Py0-HFc2d,10.9
4382,Arene_152,N#Cc1coc[nH+]1,Radical_9,[c]1ccncc1,Product-Ar152-R9-P4285,N#Cc1[nH+]coc1-c1ccncc1,N#Cc1coc[nH+]1.[c]1ccncc1>>N#Cc1[nH+]coc1-c1ccncc1,7.8,"((3,), (0,))","((6,), (7,))",,HFc4c,N#Cc1coc[nH+]1,Py0, [c]1ccncc1,Py0-HFc4c-5, N#Cc1[nH+]coc1c2ccncc2,Py0-HFc4c,7.8
